Tag No.,Measurement Flag,Measured Value,Estimate,Sigma,Gross Error Flag,Unit
Natural Gas from GAIL
FI4133,1,1854.85,1854.84999199,18.54,0,SM3/HR
TI4140a,2,29.86,29.86,0.2986,2,C
PI4106a,2,35.84,35.84,0.3584,2,kg/cm2
C3H8_NG1a,0,0.0091862,0.0091862,9.1861e-05,2,xfrac
C4H10_NG1a,0,0.0042839,0.0042839,4.2839e-05,2,xfrac
CH4_NG1a,0,0.9307912,0.9307912,0.009307912,2,xfrac
N2_NG1a,0,0.0030763,0.0030763,3.0763e-05,2,xfrac
C5H12_NG1a,0,0.000523,0.000523,5.23e-06,2,xfrac
CO2_NG1a,0,0.0012057,0.0012057,1.2057e-05,2,xfrac
C2H6_NG1a,0,0.050576,0.050576,0.00050576,2,xfrac
C6H14_NG1a,0,0.0003577,0.0003577,3.577e-06,2,xfrac
Natural Gas from GAIL
FI4130,1,1407.0,1356.79124041,10.3558567602,-1,KG/HR
TI4140,2,29.86,29.86,0.2986,2,C
PI4106,2,35.84,35.84,0.3584,2,kg/cm2
C3H8_NG1,2,0.0091862,0.0091862,9.1861e-05,2,xfrac
C4H10_NG1,2,0.0042839,0.0042839,4.2839e-05,2,xfrac
CH4_NG1,2,0.9307912,0.9307912,0.009307912,2,xfrac
N2_NG1,2,0.0030763,0.0030763,3.0763e-05,2,xfrac
C5H12_NG1,2,0.000523,0.000523,5.23e-06,2,xfrac
CO2_NG1,2,0.0012057,0.0012057,1.2057e-05,2,xfrac
C2H6_NG1,2,0.050576,0.050576,0.00050576,2,xfrac
C6H14_NG1,2,0.0003577,0.0003577,3.577e-06,2,xfrac
Natural Gas sent to furnace as fuel
FI4131,1,285.060028056,288.015802955,3.9785972034,0,SM3/HR
TU_NG2,2,29.86,29.86,0.2986,2,C
PU_NG2,2,35.84,35.84,0.3584,2,kg/cm2
C3H8_NG2,0,0.0091861,0.0091862,9.1861e-05,2,xfrac
C4H10_NG2,0,0.0042839,0.0042839,4.2839e-05,2,xfrac
CH4_NG2,0,0.9307912,0.9307912,0.009307912,2,xfrac
N2_NG2,0,0.0030763,0.0030763,3.0763e-05,2,xfrac
C5H12_NG2,0,0.000523,0.000523,5.23e-06,2,xfrac
CO2_NG2,0,0.0012057,0.0012057,1.2057e-05,2,xfrac
C2H6_NG2,0,0.050576,0.050576,0.00050576,2,xfrac
C6H14_NG2,0,0.0003577,0.0003577,3.577e-06,2,xfrac
Natural Gas to be mixed with Hydrogen for desulpurisation
FI4132,1,1196.74,1146.11257624,10.3568260182,0,KG/HR
TU_NG3,2,29.86,29.86,0.2986,2,C
PIC4107,2,32.82,32.82,0.3282,2,kg/cm2
C3H8_NG3,0,0.0091861,0.0091862,9.1861e-05,2,xfrac
C4H10_NG3,0,0.0042839,0.0042839,4.2839e-05,2,xfrac
CH4_NG3,0,0.9307912,0.9307912,0.009307912,2,xfrac
N2_NG3,0,0.0030763,0.0030763,3.0763e-05,2,xfrac
C5H12_NG3,0,0.000523,0.000523,5.23e-06,2,xfrac
CO2_NG3,0,0.0012057,0.0012057,1.2057e-05,2,xfrac
C2H6_NG3,0,0.050576,0.050576,0.00050576,2,xfrac
C6H14_NG3,0,0.0003577,0.0003577,3.577e-06,2,xfrac
Natural Gas sent to furnace as fuel (Pseudo-Stream to handle Pressure Drop)
FU_NG2a,0,285.060028056,288.015802955,2.85060028056,2,SM3/HR
TU_NG2a,2,29.86,29.86,0.2986,2,C
PIC4116,2,2.55,2.55,0.0255,2,kg/cm2
C3H8_NG2a,0,0.0091861,0.0091862,9.1861e-05,2,xfrac
C4H10_NG2a,0,0.0042839,0.0042839,4.2839e-05,2,xfrac
CH4_NG2a,0,0.9307912,0.9307912,0.009307912,2,xfrac
N2_NG2a,0,0.0030763,0.0030763,3.0763e-05,2,xfrac
C5H12_NG2a,0,0.000523,0.000523,5.23e-06,2,xfrac
CO2_NG2a,0,0.0012057,0.0012057,1.2057e-05,2,xfrac
C2H6_NG2a,0,0.050576,0.050576,0.00050576,2,xfrac
C6H14_NG2a,0,0.0003577,0.0003577,3.577e-06,2,xfrac
Hydrogen from PSA unit to be mixed with NG for desulphurisation
FIC3103,2,5.77,5.77,0.252,2,KG/HR
TI3156,2,48.1,48.1,0.481,2,C
PIC3150,2,32.5,32.5,0.325,2,kg/cm2
Cold-side inlet of Heat Exchanger E-2
FU_NG4,0,72.2233,69.2485822012,0.722233,2,KMOl/HR
TU_NG4,2,32.0,32.0,0.32,2,C
PU_NG4,2,33.1,33.1,0.3,2,kg/cm2
C3H8_NG4,0,0.0088,0.00880348910315,8.8e-05,2,xfrac
C4H10_NG4,0,0.00411,0.00410542628823,4.11e-05,2,xfrac
