From,To
Start0,SPL1a
SPL1a,SPL1
SPL1,MIX5
SPL1,MIX1
SPL6,MIX1
MIX1,MIX2
SPL4,MIX2
MIX2,REX1
REX1,REX1a
REX1a,MIX3
SPL4,MIX3
MIX3,REX2
REX2,REX3
REX3,REX4
REX4,SEP1a
SEP1a,PSA1
SEP1a,MIX6
PSA1,MIX5
PSA1,SPL6
SPL6,SPL7
SPL7,End0
SPL7,End1
Start1,MIX6
MIX6,SPL8
SPL8,End2
SPL8,MIX7
SPL8,MIX7
MIX7,SPL4
SPL4,End3
Start2,MIX5
MIX5,REX5
REX5,End4

Unit Id,LabelSPL1a,SPL1a
SPL1,SPL1
MIX1,MIX1
MIX2,MIX2
REX1,REX1
REX1a,REX1a
MIX3,MIX3
REX2,REX2
REX3,REX3
REX4,REX4
SEP1a,SEP1a
PSA1,PSA1
SPL6,SPL6
SPL7,SPL7
MIX6,MIX6
SPL8,SPL8
MIX7,MIX7
SPL4,SPL4
MIX5,MIX5
REX5,REX5
