$---------Stream NG1---------------------
FI4133	1772.22	17.72	1	NM3/HR
TI4140	32.8	0.328	1	C
PI4107	29.8	0.298	1	kg/cm2
$---------Stream NG2------------------
FI4131	204.1	2.04	1	NM3/HR
TU_NG2	29.8	0.298	0	C
PU_NG2	32.8	0.328	0	kg/cm2
CH4_NG2	0.9296271	0.09	0	xfrac
N2_NG2	0.0041252	0.0004	0	xfrac
C2H6_NG2	0.0447413	0.0004	0	xfrac
C3H8_NG2	0.0140113	0.0001	0	xfrac
$---------Stream NG3----------------------------------
FI4132	1113.3	11.13	1	KG/HR
TU_NG3	29.8	0.298	0	C
PU_NG3	32.8	0.328	0	kg/cm2
CH4_NG3	0.9296271	0.09	0	xfrac
N2_NG3	0.0041252	0.0004	0	xfrac
C2H6_NG3	0.0447413	0.0004	0	xfrac
C3H8_NG3	0.0140113	0.0001	0	xfrac
$---------Stream H1---------------------------
FIC3103	6.3	1	1	KG/HR
TI3156	56.1	1	1	C
PIC3150	33.1	0.3	1	kg/cm2
$---------Stream NG4--------------------
FU_NG4	1135.5	11	0	NM3/HR
TU_NG4	32	0.32	0	C
PU_NG4	30	0.3	0	kg/cm2
CH4_NG4	0.9296271	0.09	0	xfrac
N2_NG4	0.041252	0.004	0	xfrac
C2H6_NG4	0.0447413	0.0004	0	xfrac
C3H8_NG4	0.0140113	0.0001	0	xfrac
H2_NG4	0.1	0.0001	0	xfrac
$--------Stream NG5----------------------
FIC3105	1066	10	1	KG/HR
TIC4101	380	3.8	1	C
PIC3112	32.4	3.1	1	kg/cm2
CH4_NG5	0.9296271	0.09	0	xfrac
N2_NG5	0.041252	0.004	0	xfrac
C2H6_NG5	0.0447413	0.0004	0	xfrac
C3H8_NG5	0.0140113	0.0001	0	xfrac
H2_NG5	0.1	0.0001	0	xfrac
$--------Stream HT1----------------------
FU_HT1	9363	93	0	NM3/HR
TI4181	419.5	4.2	1	C
PU_HT1	25.7	2.5	0	kg/cm2
H2_HT1	0.5302	0.005	0	xfrac
CH4_HT1	0.0386	0.003	0	xfrac
CO_HT1	0.0254	0.002	0	xfrac
CO2_HT1	0.1168	0.001	0	xfrac
H2O_HT1	0.2881	0.003	0	xfrac
N2_HT1	0.0009	0.001	0	xfrac
$--------Stream HT2----------------------
FU_HT2	9363	93	0	NM3/HR
TU_HT2	300	4.2	0	C
PU_HT2	25.7	2.5	0	kg/cm2
H2_HT2	0.5302	0.005	0	xfrac
CH4_HT2	0.0386	0.003	0	xfrac
CO_HT2	0.0254	0.002	0	xfrac
CO2_HT2	0.1168	0.001	0	xfrac
H2O_HT2	0.2881	0.003	0	xfrac
N2_HT2	0.0009	0.001	0	xfrac
$--------Stream ST1--------------------
FIC3104	2884	28	1	KG/HR
TIC3123a	436.6	4.3	1	C
PI3116a	31.6	3.1	1	kg/cm2
$--------Stream NS1------------------
FU_NS1	230.069	2.3	0	KMol/HR
TI4169	397.4	4	1	C
PU_NS1	31.6	3.1	0	kg/cm2
H2_NS1	0.012	0.001	0	xfrac
CH4_NS1	0.2643	0.002	0	xfrac
H2O_NS1	0.6944	0.007	0	xfrac
N2_NS1	0.0012	0.001	0	xfrac
C2H6_NS1	0.0014	0.001	0	xfrac
C3H8_NS1	0.0014	0.001	0	xfrac
$--------Stream NS2(Feed to PreReformer)-----
FU_NS2	230.069	2.3	0	KMol/HR
TRC4167	474	4.7	1	C
PI4103	29.4	3.1	1	kg/cm2
H2_NS2	0.012	0.001	0	xfrac
CH4_NS2	0.2643	0.002	0	xfrac
H2O_NS2	0.6944	0.007	0	xfrac
