$---------Stream NG1(1)---------------------
FI4130	78.206	0.78	1	KMOL/HR
TI4140	29.13	0.29	1	C
PI4107	32.3	0.32	1	kg/cm2
$---------Stream NG2 (11)------------------
FI4131	10.725	0.10	1	KMOL/HR
TU_NG2	29.8	0.298	0	C
PU_NG2	32.8	0.328	0	kg/cm2
$---------Stream NG2a (PseudoStream to address pressure drop)--------------
FU_NG2a	10.725	0.10	1	KMOL/HR
TU_NG2a	29.8	0.298	0	C
PIC4116	2.5	0.025	1	kg/cm2
$---------Stream NG3 (3)--------------------
FI4132	67.482	0.67	1	KMOL/HR
TU_NG3	29.8	0.298	0	C
PU_NG3	32.8	0.328	0	kg/cm2
$---------Stream H1(12) TTag,PTag not found in data sheet---------------
FIC3103	2.577	0.025	1	KMOL/HR
TI3156	56.2	0.56	1	C
PIC3150	33.1	0.33	1	kg/cm2
H2_H1	0.99	0.01	1	xfrac
CH4_H1	0.000003	0.0000003	1	xfrac
CO_H1	0.000003	0.0000003	1	xfrac
CO2_H1	0.000001	0.0000001	1	xfrac
$---------Stream NG4(4)--------------------
FU_NG4	70.511	0.70	1	KMOl/HR
TU_NG4	32	0.32	0	C
PU_NG4	33.1	0.3	0	kg/cm2
CH4_NG4	0.960	0.0086	1	xfrac
H2_NG4	0.039	0.0003	1	xfrac
CO_NG4	0.0000003	0.0000001	1	xfrac
CO2_NG4	0.0000001	0.0000001	1	xfrac
$--------Stream NG5 (5)----------------------
FIC3105	70.511	11	1	KMOL/HR
TIC4101	380	3.8	1	C
PIC3112	32.0	0.32	1	kg/cm2
CH4_NG5	0.96	0.009	1	xfrac
H2_NG5	0.039	0.0001	0	xfrac
CO_NG5	0.0000003	0.000000003	1	xfrac
CO2_NG5	0.0000001	0.000000001	1	xfrac
$--------Stream HT1 (23) Tag not found in the data sheet----------------------
FU_HT1	418	4.2	1	KMOL/HR
TI4181	419.5	4.2	1	C
PU_HT1	25.7	0.26	0	kg/cm2
H2_HT1	0.5302	0.0053	1	xfrac
CH4_HT1	0.0386	0.0004	1	xfrac
CO_HT1	0.0254	0.0002	1	xfrac
CO2_HT1	0.1166	0.0012	1	xfrac
H2O_HT1	0.2881	0.0028	1	xfrac
$--------Stream HT2 (24)---------------------
FU_HT2	418	2.8	1	KMOl/HR
TU_HT2	300	3.0	0	C
PU_HT2	25.7	0.25	0	kg/cm2
H2_HT2	0.5302	0.0053	1	xfrac
CH4_HT2	0.0386	0.0003	1	xfrac
CO_HT2	0.0254	0.0002	1	xfrac
CO2_HT2	0.1168	0.0012	1	xfrac
H2O_HT2	0.2881	0.0028	1	xfrac
$--------Stream ST1 (19)--------------------
FIC3104	159.56	1.59	1	KMOL/HR
TIC3123a	460	4.6	1	C
PI3116a	31.4	0.31	1	kg/cm2
$--------Stream NS1 (6-I)------------------
FU_NS1	230.06	2.3	1	KMol/HR
TI4169	375.5	3.7	1	C
PU_NS1	31.6	0.31	0	kg/cm2
H2_NS1	0.012	0.0001	1	xfrac
CH4_NS1	0.2643	0.0026	1	xfrac
H2O_NS1	0.6944	0.0069	1	xfrac
CO_NS1	0.0000003	0.0000001	1	xfrac
CO2_NS1	0.0000001	0.0000001	1	xfrac
$--------Stream NS2 (6)(Feed to PreReformer)-----
FU_NS2	230.06	2.3	0	KMol/HR
TRC4167	470	4.7	1	C
PI4103	30.16	0.3	1	kg/cm2
H2_NS2	0.012	0.0001	1	xfrac
CH4_NS2	0.2643	0.0026	1	xfrac
H2O_NS2	0.6944	0.0069	1	xfrac
CO_NS2	0.0000003	0.0000001	1	xfrac
CO2_NS2	0.0000001	0.0000001	1	xfrac
N2_NS2	0.0012	0.001	1	xfrac
C2H6_NS2	0.0014	0.001	1	xfrac
C3H8_NS2	0.0014	0.001	1	xfrac
$--------Stream NS3 (7)(PreReformer Outlet) TTag not found in data sheet--------------
FU_NS3	246.5	2.5	1	KMOl/HR
TI3119	432.8	4.3	1	C
PI4132	29.1	0.291	1	kg/cm2
H2_NS3	0.0707	0.0007	1	xfrac
CH4_NS3	0.2895	0.0029	1	xfrac
CO_NS3	0.0003	0.000003	1	xfrac
CO2_NS3	0.0231	0.000231	1	xfrac
H2O_NS3	0.6153	0.006153	1	xfrac
N2_NS3	0.0011	0.000011	1	xfrac
$---------Stream ST2(18)(to be mixed with feed to steam reformer)-----------------------
FIC3107	68.536	0.6853	1	KMOL/HR
TIC3123b	436.6	4.3	1	C
PI3116b	31.6	0.316	1	kg/cm2
$----------Stream NS4(8) (To heater)--------------------
FU_NS4	309.92	3.09	1	KMOl/HR
TU_NS4	426	4.2	0	C
PU_NS4	28.5	0.3	0	kg/cm2
H2_NS4	0.0551	0.0005	1	xfrac
CH4_NS4	0.2255	0.0022	1	xfrac
CO_NS4	0.0003	0.0001	1	xfrac
CO2_NS4	0.0180	0.0001	1	xfrac
H2O_NS4	0.7003	0.0070	1	xfrac
N2_NS4	0.0009	0.0001	1	xfrac
$-------Stream NS5 (feed to steam reformer)(9)-
FU_NS5	309.92	3	1	KMOl/HR
TIC3124	600	6	1	C
PI3117	28.90	0.29	1	kg/cm2
H2_NS5	0.0551	0.0005	1	xfrac
CH4_NS5	0.2255	0.0022	1	xfrac
